Number of words in the corpus: 6718
Number of words in the corpus_todo: 5398
Word:  Frequency: 612.0 LogProb: -1.295898790142403
Word: #startups Frequency: 0.0 LogProb: -4.083359264660818
Word: #students Frequency: 1.0 LogProb: -3.782329268996837
Word: #style Frequency: 1.0 LogProb: -3.782329268996837
Word: #success Frequency: 0.0 LogProb: -4.083359264660818
Word: #successstory Frequency: 0.0 LogProb: -4.083359264660818
Word: #sustainability Frequency: 4.0 LogProb: -3.384389260324799
Word: #sustainable Frequency: 0.0 LogProb: -4.083359264660818
Word: #sustainabletechnology Frequency: 0.0 LogProb: -4.083359264660818
Word: #sydnye Frequency: 1.0 LogProb: -3.782329268996837
Word: #taiwan Frequency: 0.0 LogProb: -4.083359264660818
Word: #takeyourchildtoworkday Frequency: 0.0 LogProb: -4.083359264660818
Word: #tampa Frequency: 1.0 LogProb: -3.782329268996837
Word: #tbt Frequency: 1.0 LogProb: -3.782329268996837
Word: #teamwork Frequency: 0.0 LogProb: -4.083359264660818
Word: #tech Frequency: 6.0 LogProb: -3.2382612246465614
Word: #tedxrc_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #tewf Frequency: 0.0 LogProb: -4.083359264660818
Word: #thechoir Frequency: 0.0 LogProb: -4.083359264660818
Word: #tip Frequency: 0.0 LogProb: -4.083359264660818
Word: #tips Frequency: 1.0 LogProb: -3.782329268996837
Word: #toronto Frequency: 0.0 LogProb: -4.083359264660818
Word: #travel Frequency: 1.0 LogProb: -3.782329268996837
Word: #tropheereputation Frequency: 0.0 LogProb: -4.083359264660818
Word: #true Frequency: 0.0 LogProb: -4.083359264660818
Word: #tsn Frequency: 0.0 LogProb: -4.083359264660818
Word: #tsn䞻s Frequency: 0.0 LogProb: -4.083359264660818
Word: #ukraine Frequency: 0.0 LogProb: -4.083359264660818
Word: #uncfmrk Frequency: 0.0 LogProb: -4.083359264660818
Word: #unemployment Frequency: 1.0 LogProb: -3.782329268996837
Word: #unga Frequency: 0.0 LogProb: -4.083359264660818
Word: #us Frequency: 0.0 LogProb: -4.083359264660818
